Label,Count,Image Count
pedestrian,1,21
pedestrian,2,18
pedestrian,3,19
pedestrian,4,11
pedestrian,5,10
pedestrian,6,6
pedestrian,7,8
pedestrian,8,7
pedestrian,9,6
pedestrian,10,6
pedestrian,11,4
pedestrian,12,4
pedestrian,13,3
pedestrian,14,1
pedestrian,15,3
pedestrian,16,1
pedestrian,17,2
pedestrian,18,1
pedestrian,20,4
pedestrian,21,2
pedestrian,22,1
pedestrian,23,3
pedestrian,24,2
pedestrian,28,1
pedestrian,29,2
pedestrian,41,1
rider,1,24
rider,2,13
ignore,1,40
ignore,2,20
ignore,3,18
ignore,4,16
ignore,5,12
ignore,6,13
ignore,7,7
ignore,8,1
ignore,9,3
ignore,10,3
sitting person,1,11
sitting person,2,4
sitting person,3,1
sitting person,4,3
sitting person,5,1
sitting person,6,1
sitting person,7,2
person group,1,10
person group,2,7
person group,3,2
person group,6,2
person (other),1,10
person (other),2,1
