Label,Count,Image Count
pedestrian,1,65
pedestrian,2,32
pedestrian,3,30
pedestrian,4,19
pedestrian,5,12
pedestrian,6,9
pedestrian,7,7
pedestrian,8,7
pedestrian,10,6
pedestrian,11,2
pedestrian,12,6
pedestrian,13,4
pedestrian,14,2
pedestrian,15,2
pedestrian,16,1
pedestrian,17,2
pedestrian,19,2
pedestrian,20,1
pedestrian,21,2
pedestrian,25,2
pedestrian,38,1
rider,1,68
rider,2,33
rider,3,12
rider,4,4
rider,5,4
rider,6,3
rider,7,1
rider,8,1
ignore,1,71
ignore,2,60
ignore,3,27
ignore,4,17
ignore,5,15
ignore,6,4
ignore,7,9
ignore,8,5
ignore,9,3
ignore,11,3
ignore,12,2
ignore,14,1
person (other),1,9
person (other),2,3
person group,1,27
person group,2,9
person group,3,8
person group,4,8
person group,5,2
person group,6,1
person group,7,1
sitting person,1,15
sitting person,2,3
sitting person,3,1
sitting person,4,1
sitting person,5,1
sitting person,8,1
