Label,Count,Image Count
pedestrian,1,20
pedestrian,2,18
pedestrian,3,16
pedestrian,4,13
pedestrian,5,8
pedestrian,6,14
pedestrian,7,4
pedestrian,8,5
pedestrian,9,3
pedestrian,10,7
pedestrian,11,5
pedestrian,12,4
pedestrian,13,4
pedestrian,14,2
pedestrian,15,2
pedestrian,16,2
pedestrian,17,1
pedestrian,19,1
pedestrian,21,2
pedestrian,22,1
pedestrian,23,1
pedestrian,26,1
pedestrian,36,1
rider,1,36
rider,2,16
rider,3,8
rider,4,3
rider,5,1
person (other),1,30
person (other),2,3
person (other),3,3
person (other),5,1
person (other),7,2
ignore,1,25
ignore,2,24
ignore,3,15
ignore,4,21
ignore,5,11
ignore,6,10
ignore,7,5
ignore,8,2
ignore,9,3
ignore,10,1
ignore,11,1
ignore,13,1
person group,1,15
person group,2,11
person group,3,7
person group,4,5
person group,5,1
person group,7,1
person group,14,1
sitting person,1,9
sitting person,2,2
sitting person,3,2
sitting person,4,2
