Label,Count,Image Count
pedestrian,1,13
pedestrian,2,11
pedestrian,3,9
pedestrian,4,5
pedestrian,5,2
pedestrian,6,7
pedestrian,7,1
pedestrian,8,1
pedestrian,9,4
pedestrian,10,2
pedestrian,11,1
pedestrian,12,3
pedestrian,13,1
pedestrian,14,1
pedestrian,15,1
pedestrian,16,1
pedestrian,18,1
pedestrian,20,1
pedestrian,26,2
ignore,1,14
ignore,2,11
ignore,3,9
ignore,4,11
ignore,5,5
ignore,6,5
ignore,8,2
ignore,9,4
ignore,10,1
ignore,11,1
ignore,13,3
person (other),1,4
person (other),2,3
person (other),4,1
rider,1,25
rider,2,6
rider,3,1
sitting person,1,3
person group,1,4
person group,2,1
person group,3,1
