Label,Count,Image Count
pedestrian,1,34
pedestrian,2,32
pedestrian,3,25
pedestrian,4,12
pedestrian,5,12
pedestrian,6,5
pedestrian,7,5
pedestrian,8,4
pedestrian,9,4
pedestrian,10,2
pedestrian,14,1
pedestrian,16,1
pedestrian,20,1
rider,1,19
rider,2,6
ignore,1,54
ignore,2,38
ignore,3,26
ignore,4,23
ignore,5,14
ignore,6,6
ignore,7,7
ignore,8,2
ignore,9,2
ignore,10,3
ignore,11,1
ignore,13,1
sitting person,1,7
sitting person,2,2
person (other),1,6
person (other),2,1
person group,1,19
person group,2,7
person group,3,2
person group,4,3
person group,6,1
person group,10,1
