Label,Count,Image Count
pedestrian,1,9
pedestrian,2,22
pedestrian,3,9
pedestrian,4,3
pedestrian,5,10
pedestrian,6,6
pedestrian,7,3
pedestrian,8,3
pedestrian,9,1
pedestrian,10,3
pedestrian,11,2
pedestrian,12,2
pedestrian,13,1
pedestrian,14,1
pedestrian,16,2
pedestrian,29,1
person (other),1,8
person (other),2,1
person (other),3,1
ignore,1,20
ignore,2,14
ignore,3,19
ignore,4,17
ignore,5,10
ignore,6,5
ignore,7,3
ignore,8,1
ignore,9,1
ignore,10,1
ignore,12,2
ignore,13,2
ignore,14,1
rider,1,17
rider,2,7
rider,3,2
rider,4,2
sitting person,1,4
sitting person,2,2
sitting person,4,2
person group,1,6
person group,2,1
person group,3,1
person group,8,1
person group,10,1
person group,11,1
