Label,Count,Image Count
pedestrian,1,11
pedestrian,2,9
pedestrian,3,13
pedestrian,4,14
pedestrian,5,8
pedestrian,6,8
pedestrian,7,10
pedestrian,8,15
pedestrian,9,7
pedestrian,10,13
pedestrian,11,2
pedestrian,12,12
pedestrian,13,8
pedestrian,14,7
pedestrian,15,3
pedestrian,16,10
pedestrian,17,4
pedestrian,18,6
pedestrian,19,2
pedestrian,20,5
pedestrian,21,4
pedestrian,22,4
pedestrian,23,3
pedestrian,24,5
pedestrian,25,1
pedestrian,27,4
pedestrian,28,3
pedestrian,29,1
pedestrian,30,3
pedestrian,31,2
pedestrian,32,2
pedestrian,33,2
pedestrian,34,2
pedestrian,35,2
pedestrian,38,1
pedestrian,42,2
pedestrian,43,3
pedestrian,44,2
pedestrian,45,1
pedestrian,47,1
pedestrian,49,1
pedestrian,51,1
pedestrian,52,4
pedestrian,53,2
pedestrian,54,2
pedestrian,55,2
pedestrian,60,1
pedestrian,68,1
pedestrian,69,1
pedestrian,70,1
pedestrian,76,1
pedestrian,88,1
pedestrian,93,1
person (other),1,38
person (other),2,10
person (other),3,5
person (other),5,2
rider,1,55
rider,2,34
rider,3,15
rider,4,13
rider,5,3
rider,6,2
ignore,1,54
ignore,2,45
ignore,3,30
ignore,4,14
ignore,5,11
ignore,6,1
ignore,7,4
ignore,8,6
ignore,9,3
ignore,10,2
ignore,11,2
ignore,12,2
ignore,13,1
ignore,16,1
sitting person,1,23
sitting person,2,16
sitting person,3,6
sitting person,4,4
sitting person,5,1
sitting person,7,2
sitting person,8,2
sitting person,10,3
sitting person,11,1
sitting person,17,1
sitting person,18,1
sitting person,36,1
person group,1,31
person group,2,15
person group,3,9
person group,4,15
person group,5,5
person group,6,2
person group,7,3
person group,8,4
person group,9,5
person group,10,1
person group,11,4
person group,14,1
person group,26,1
