Label,Count,Image Count
sitting person,1,5
sitting person,2,5
sitting person,3,8
sitting person,4,3
sitting person,5,3
sitting person,6,2
sitting person,7,2
sitting person,8,2
sitting person,11,1
pedestrian,1,18
pedestrian,2,18
pedestrian,3,18
pedestrian,4,18
pedestrian,5,12
pedestrian,6,14
pedestrian,7,11
pedestrian,8,9
pedestrian,9,6
pedestrian,10,6
pedestrian,11,5
pedestrian,12,8
pedestrian,13,2
pedestrian,14,4
pedestrian,15,5
pedestrian,16,2
pedestrian,17,2
pedestrian,18,1
pedestrian,19,2
pedestrian,21,3
pedestrian,22,3
pedestrian,23,1
pedestrian,25,3
pedestrian,27,2
pedestrian,28,1
pedestrian,29,1
pedestrian,33,1
pedestrian,38,1
pedestrian,39,1
rider,1,61
rider,2,22
rider,3,17
rider,4,10
rider,5,6
rider,6,2
ignore,1,37
ignore,2,28
ignore,3,22
ignore,4,12
ignore,5,17
ignore,6,17
ignore,7,11
ignore,8,5
ignore,9,4
ignore,10,1
ignore,11,1
ignore,12,1
ignore,13,1
ignore,16,1
person group,1,19
person group,2,7
person group,3,2
person group,4,4
person group,6,1
person group,7,3
person group,9,2
person group,10,1
person group,11,1
person group,24,1
person (other),1,30
person (other),2,1
person (other),3,1
person (other),5,1
