Label,Count,Image Count
pedestrian,1,17
pedestrian,2,15
pedestrian,3,8
pedestrian,4,7
pedestrian,5,10
pedestrian,6,3
pedestrian,7,5
pedestrian,8,6
pedestrian,10,9
pedestrian,11,3
pedestrian,12,1
pedestrian,14,2
pedestrian,16,1
pedestrian,17,1
pedestrian,18,1
pedestrian,19,1
pedestrian,23,2
pedestrian,28,1
pedestrian,33,1
ignore,1,24
ignore,2,14
ignore,3,9
ignore,4,4
ignore,5,4
ignore,6,7
ignore,8,4
ignore,9,1
ignore,10,2
ignore,11,1
ignore,12,3
sitting person,1,7
sitting person,2,3
sitting person,7,2
rider,1,19
rider,2,14
rider,3,3
rider,5,1
person group,1,10
person group,2,9
person group,3,1
person group,4,2
person group,5,2
person group,9,1
person (other),1,8
person (other),2,1
