Label,Count,Image Count
pedestrian,1,20
pedestrian,2,18
pedestrian,3,6
pedestrian,4,4
pedestrian,5,8
pedestrian,6,5
pedestrian,7,2
pedestrian,9,1
pedestrian,14,1
rider,1,15
rider,2,5
rider,3,4
rider,4,1
ignore,1,20
ignore,2,21
ignore,3,10
ignore,4,8
ignore,5,4
ignore,6,4
ignore,7,1
ignore,9,1
ignore,10,1
ignore,12,1
ignore,16,1
ignore,17,1
person (other),1,4
person (other),2,1
person group,1,5
person group,2,5
person group,3,2
person group,4,1
person group,5,1
sitting person,1,3
sitting person,2,3
sitting person,3,1
sitting person,4,2
