Label,Count,Image Count
ignore,1,46
ignore,2,35
ignore,3,22
ignore,4,15
ignore,5,16
ignore,6,6
ignore,7,6
ignore,8,5
ignore,9,1
ignore,10,2
ignore,11,1
ignore,12,3
pedestrian,1,31
pedestrian,2,24
pedestrian,3,23
pedestrian,4,19
pedestrian,5,14
pedestrian,6,9
pedestrian,7,5
pedestrian,8,10
pedestrian,9,3
pedestrian,10,1
pedestrian,11,4
pedestrian,12,2
pedestrian,17,1
pedestrian,20,1
pedestrian,28,1
pedestrian,33,1
pedestrian,37,1
pedestrian,40,1
person (other),1,19
person (other),2,12
person (other),5,1
sitting person,1,8
sitting person,2,5
sitting person,4,2
sitting person,5,1
sitting person,13,1
sitting person,14,1
sitting person,27,1
person group,1,16
person group,2,4
person group,3,3
person group,5,2
person group,9,1
rider,1,36
rider,2,1
