Label,Count,Image Count
pedestrian,1,380
pedestrian,2,331
pedestrian,3,271
pedestrian,4,191
pedestrian,5,157
pedestrian,6,123
pedestrian,7,94
pedestrian,8,88
pedestrian,9,55
pedestrian,10,70
pedestrian,12,58
pedestrian,13,30
pedestrian,15,26
pedestrian,16,34
pedestrian,21,20
pedestrian,27,9
pedestrian,14,28
pedestrian,18,14
pedestrian,20,16
pedestrian,11,40
pedestrian,17,16
pedestrian,19,12
pedestrian,22,13
pedestrian,23,14
pedestrian,24,10
pedestrian,25,10
pedestrian,26,5
pedestrian,28,11
pedestrian,30,4
pedestrian,31,5
pedestrian,32,3
pedestrian,33,7
pedestrian,34,3
pedestrian,36,3
pedestrian,39,2
pedestrian,42,4
pedestrian,47,2
pedestrian,29,5
pedestrian,38,3
pedestrian,35,2
pedestrian,43,3
pedestrian,44,4
pedestrian,45,1
pedestrian,49,1
pedestrian,51,1
pedestrian,52,4
pedestrian,53,2
pedestrian,54,2
pedestrian,55,2
pedestrian,60,1
pedestrian,68,1
pedestrian,69,1
pedestrian,70,1
pedestrian,76,1
pedestrian,88,1
pedestrian,93,1
pedestrian,41,2
pedestrian,46,1
pedestrian,37,1
pedestrian,40,1
ignore,1,626
ignore,2,455
ignore,3,282
ignore,4,207
ignore,5,153
ignore,6,102
ignore,7,71
ignore,8,43
ignore,10,19
ignore,9,28
ignore,11,13
ignore,13,9
ignore,12,16
ignore,14,5
ignore,16,3
ignore,17,1
rider,1,571
rider,2,222
rider,3,92
rider,4,39
rider,5,17
rider,6,9
rider,7,2
rider,8,1
person group,1,224
person group,2,102
person group,3,52
person group,4,44
person group,6,8
person group,10,5
person group,5,17
person group,7,9
person group,11,7
person group,13,1
person group,8,5
person group,9,9
person group,24,1
person group,14,2
person group,26,1
sitting person,1,160
sitting person,2,67
sitting person,5,15
sitting person,11,3
sitting person,3,31
sitting person,10,4
sitting person,4,25
sitting person,6,5
sitting person,7,11
sitting person,13,2
sitting person,14,2
sitting person,23,1
sitting person,8,5
sitting person,17,1
sitting person,18,1
sitting person,36,1
sitting person,24,1
sitting person,27,1
person (other),1,223
person (other),2,52
person (other),4,1
person (other),3,11
person (other),5,7
person (other),7,2
