Label,Count,Image Count
pedestrian,1,25
pedestrian,2,16
pedestrian,3,11
pedestrian,4,13
pedestrian,5,6
pedestrian,6,4
pedestrian,7,3
pedestrian,8,4
pedestrian,9,1
pedestrian,10,1
pedestrian,12,3
pedestrian,13,2
pedestrian,15,2
pedestrian,16,3
pedestrian,21,1
pedestrian,27,1
ignore,1,24
ignore,2,21
ignore,3,14
ignore,4,4
ignore,5,5
ignore,6,1
ignore,7,4
ignore,8,2
rider,1,36
rider,2,12
rider,3,4
rider,4,1
person group,1,3
sitting person,1,10
sitting person,2,1
sitting person,5,1
sitting person,11,1
person (other),1,9
person (other),2,1
