Label,Count,Image Count
pedestrian,1,13
pedestrian,2,21
pedestrian,3,11
pedestrian,4,6
pedestrian,5,5
pedestrian,6,7
pedestrian,7,6
pedestrian,9,3
pedestrian,10,3
pedestrian,11,1
pedestrian,12,3
pedestrian,13,2
pedestrian,14,2
pedestrian,15,1
pedestrian,16,2
pedestrian,17,1
pedestrian,18,3
pedestrian,19,1
pedestrian,20,1
pedestrian,21,2
pedestrian,23,1
pedestrian,25,1
pedestrian,41,1
pedestrian,44,2
pedestrian,46,1
sitting person,1,12
sitting person,2,2
sitting person,3,1
sitting person,4,2
sitting person,5,1
sitting person,6,1
sitting person,24,1
rider,1,27
rider,2,15
rider,3,10
rider,4,1
rider,5,1
rider,6,1
ignore,1,25
ignore,2,19
ignore,3,12
ignore,4,10
ignore,5,8
ignore,6,8
ignore,7,8
ignore,8,3
ignore,9,1
ignore,11,2
ignore,12,1
ignore,14,3
person (other),1,13
person (other),2,6
person (other),3,1
person (other),5,2
person group,1,8
person group,2,2
person group,3,4
person group,4,1
